192.168.2.1,0.53,37.3,(Private Address),(Private Address)
200.89.164.153,-0.24,45.36,ARGENTINA,Buenos Aires
200.89.165.130,-0.42,44.90,ARGENTINA,Buenos Aires
200.89.165.222,-0.36,47.18,ARGENTINA,Buenos Aires
208.178.195.205,-0.48,43.77,ARGENTINA,Buenos Aires
67.16.139.18,3.11,211.71,UNITED STATES,Miami
213.248.76.189,-1.33,168.31,UNITED STATES,Miami
62.115.136.204,0.28,201.46,UNITED STATES,Ashburn
213.155.133.229,-0.46,199.20,UNITED STATES,Ashburn
213.248.85.174,1.01,267.33,UNITED STATES,Los Angeles
109.105.97.140,-0.35,270.48,SWEDEN,Stockholm
109.105.97.42,0.53,315.58,SWEDEN,Stockholm
109.105.102.2,-0.59,307.25,SWEDEN,Stockholm
130.208.17.106,-0.38,308.99,ICELAND,Reykjavik
130.208.18.174,-0.29,314.75,ICELAND,Reykjavik
130.208.165.207,-0.53,309.26,ICELAND,Reykjavik
