192.168.2.1,0.36,35.15,(Private Address),(Private Address)
200.89.166.161,-0.30,45.49,ARGENTINA,Buenos Aires
200.89.165.130,-0.51,44.81,ARGENTINA,Buenos Aires
200.89.165.222,-0.46,46.45,ARGENTINA,Buenos Aires
208.178.244.213,-0.52,45.05,ARGENTINA,Buenos Aires
67.17.75.66,2.54,205.42,UNITED STATES,Miami
4.68.111.121,-1.06,175.47,UNITED STATES,Miami
4.69.158.245,1.89,301.85,SWEDEN,Stockholm
4.69.158.245,-0.42,305.45,SWEDEN,Stockholm
213.242.110.198,-0.26,317.85,SWEDEN,Stockholm
194.85.40.229,-0.29,328.49,RUSSIAN FEDERATION,Saint Petersburg
194.226.194.22,0.01,355.20,RUSSIAN FEDERATION,Saint Petersburg
212.192.80.57,-0.57,351.03,RUSSIAN FEDERATION,Perm
212.192.64.44,-0.37,357.50,RUSSIAN FEDERATION,Perm
