192.168.2.1,0.42,35.29,(Private Address),(Private Address)
200.89.164.177,-0.20,45.07,ARGENTINA,Buenos Aires
200.89.165.130,-0.38,44.64,ARGENTINA,Buenos Aires
200.89.165.222,-0.36,45.49,ARGENTINA,Buenos Aires
208.178.195.205,-0.43,42.76,ARGENTINA,Buenos Aires\\[0.2em]
67.17.106.162,2.64,211.71,UNITED STATES,Miami
154.54.13.61,-1.14,168.90,UNITED STATES,Atlanta
154.54.24.233,-0.37,169.24,UNITED STATES,Atlanta
154.54.24.197,-0.13,183.11,UNITED STATES,Atlanta
154.54.31.110,-0.20,193.00,UNITED STATES,Atlanta
154.54.7.26,-0.28,198.41,UNITED STATES,Chicago
154.54.31.118,-0.39,197.44,UNITED STATES,New York
154.54.30.186,1.13,282.38,UNITED KINGDOM,London
130.117.50.201,-0.44,278.99,ITALY,Milan
154.54.38.190,-0.22,287.66,UNITED KINGDOM,London
149.14.80.210,-0.01,308.23 ,UNITED KINGDOM,London
196.32.209.50,-0.66,292.33,SOUTH AFRICA,Cape Town
196.32.209.117,3.08,485.75,SOUTH AFRICA,Cape Town
155.232.6.86,-0.63,471.57,SOUTH AFRICA,Wynberg
155.232.6.29,-0.07,488.65,SOUTH AFRICA,Wynberg
155.232.6.138,-0.66,472.79,SOUTH AFRICA,Wynberg
137.215.99.2,-0.17,484.43,SOUTH AFRICA,Pretoria
137.215.10.70,-0.45,480.05,SOUTH AFRICA,Pretoria
